"","id","tax","var","x","sign","lab","tax_level","lfc","order"
"1","f__[Cerasicoccaceae]5","p__Verrucomicrobia","LDL",0.479231661288824,"-","- Verrucomicrobia","Phylum",-0.0120097034322629,3070
"2","f__S24-717","p__Bacteroidetes","LDL",0.363141715549362,"+","+ Bacteroidetes","Phylum",0.000106647841072893,3686
"3","g__Sphingobium3","p__Proteobacteria","LDL",3.34650192934014,"-","- Proteobacteria","Phylum",-0.453360881490843,3345
"4","f__Dethiosulfovibrionaceae1","p__Synergistetes","LDL",0.377167935166356,"+","+ Synergistetes","Phylum",0.00370168530050504,2046
"5","s__vadensis2","p__Lentisphaerae","LDL",0.386940235856862,"+","+ Lentisphaerae","Phylum",0.0049018199930927,3057
"6","s__arboriphilus1","p__Euryarchaeota","LDL",0.399501403880047,"-","- Euryarchaeota","Phylum",-0.00392618626371122,3047
"7","o__Streptophyta6","p__Cyanobacteria","LDL",0.440799290112385,"+","+ Cyanobacteria","Phylum",0.00707163171417339,3017
"8","f__Fusobacteriaceae5","p__Fusobacteria","LDL",0.369476863834904,"+","+ Fusobacteria","Phylum",0.00236761022035925,2653
"9","o__RF3911","p__Tenericutes","LDL",0.416526098684654,"+","+ Tenericutes","Phylum",0.00600070210732841,2532
"10","s__mucilaginosa2","p__Actinobacteria","LDL",0.541308946569841,"-","- Actinobacteria","Phylum",-0.00461904049835384,2074
"11","s__perfringens1","p__Firmicutes","LDL",0.687188749535655,"-","- Firmicutes","Phylum",-0.00462125248971814,1764
"12","f__[Cerasicoccaceae]5","p__Verrucomicrobia","HDL",0.581156967792967,"+","+ Verrucomicrobia","Phylum",0.0106528271424316,3070
"13","f__S24-717","p__Bacteroidetes","HDL",0.711992787347865,"+","+ Bacteroidetes","Phylum",0.00474483837496153,3686
"14","g__Sphingobium3","p__Proteobacteria","HDL",4.2629063198857,"+","+ Proteobacteria","Phylum",0.497828701862091,3345
"15","f__Dethiosulfovibrionaceae1","p__Synergistetes","HDL",0.430512106321335,"+","+ Synergistetes","Phylum",0.00709553600679449,2046
"16","s__vadensis2","p__Lentisphaerae","HDL",0.415122582440912,"-","- Lentisphaerae","Phylum",-0.00584066434662824,3057
"17","s__arboriphilus1","p__Euryarchaeota","HDL",0.392729775939756,"+","+ Euryarchaeota","Phylum",0.00135268044214295,3047
"18","o__Streptophyta6","p__Cyanobacteria","HDL",0.450928946770086,"+","+ Cyanobacteria","Phylum",0.00902644796311919,3017
"19","f__Fusobacteriaceae5","p__Fusobacteria","HDL",1.16561156276357,"+","+ Fusobacteria","Phylum",0.462632416660164,2653
"20","o__RF3911","p__Tenericutes","HDL",0.478059481213347,"+","+ Tenericutes","Phylum",0.0136034214216721,2532
"21","s__mucilaginosa2","p__Actinobacteria","HDL",0.402724292703531,"-","- Actinobacteria","Phylum",-0.000167057760162479,2074
"22","s__perfringens1","p__Firmicutes","HDL",0.517198211314642,"+","+ Firmicutes","Phylum",0.00049580989434149,1764
"23","f__[Cerasicoccaceae]5","p__Verrucomicrobia","Glucose",0.318522162989558,"+","+ Verrucomicrobia","Phylum",6.06272030527472e-05,3070
"24","f__S24-717","p__Bacteroidetes","Glucose",0.310673594179791,"-","- Bacteroidetes","Phylum",-7.41008350278155e-06,3686
"25","g__Sphingobium3","p__Proteobacteria","Glucose",0.321693907625128,"+","+ Proteobacteria","Phylum",8.40623546792285e-05,3345
